,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
차요,1093337449.0,요거트32,바질13,그릭요거트10,와인8,커피2,맛43,만족도40,서비스16,메뉴6,가격1,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
Take c,37196490.0,커피58,미숫가루7,아이스크림5,마카롱3,우유2,맛83,만족도56,서비스17,분위기8,메뉴4,커피가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
보마켓 남산점,924771485.0,와인5,떡볶이2,샐러드1,커피1,,와인5,떡볶이2,샐러드1,커피1,만족도5,,,,,
브라운즈,1083291951.0,,,,,,서비스38,예약13,만족도6,즐길거리5,주차3,친절해요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요,사진이 잘 나와요
테이크 블랭크,1414713670.0,커피14,와인5,아메리카노2,쿠키2,머랭쿠키2,만족도38,맛34,분위기21,서비스11,메뉴2,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,야외 공간이 멋져요,친절해요
유포리아커피로스터스,1990415920.0,커피39,라떼4,크로플2,쥬스1,롱블랙1,맛46,만족도31,서비스14,분위기7,가격3,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
콜렉티보 한남점,1885434615.0,커피36,까눌레29,케이크15,라떼12,스콘9,맛111,만족도68,분위기24,서비스15,메뉴6,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
리아 한남,1659187254.0,애플시나몬2,요거트1,블루베리요거트1,,,애플시나몬2,요거트1,블루베리요거트1,만족도4,맛2,,,,,
데드비트클럽,1604303401.0,커피24,케이크4,샌드위치4,치즈3,라떼3,만족도39,맛29,분위기12,서비스5,메뉴4,커피가 맛있어요,대화하기 좋아요,인테리어가 멋져요,친절해요,매장이 청결해요
모어딥,1220648111.0,커피22,도넛14,핸드드립3,드립커피3,라떼2,맛22,만족도16,서비스7,분위기4,전망4,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,뷰가 좋아요
루트에브리데이 한남점,37800735.0,샐러드33,연어17,토스트5,치즈4,샌드위치4,맛119,만족도77,서비스17,음식량11,가격8,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,혼밥하기 좋아요,친절해요
인덱스카라멜 한남,1313508436.0,,,,,,만족도15,목적13,서비스8,맛7,분위기5,디저트가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,특별한 메뉴가 있어요
espresso core,32745044.0,커피28,플랫화이트5,라떼4,롱블랙3,에스프레소2,커피28,플랫화이트5,라떼4,롱블랙3,에스프레소2,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
목단가옥,1823105646.0,,,,,,편의・부대시설8,가격6,주차1,혼잡도1,위치1,인테리어가 멋져요,컨셉이 독특해요,커피가 맛있어요,대화하기 좋아요,사진이 잘 나와요
요커 한남순천향점,1117238314.0,커피10,요거트6,라떼6,쿠키2,크림라떼2,만족도55,맛25,서비스8,가격4,분위기2,친절해요,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,가성비가 좋아요
리메이크 캐러멜,1542287249.0,,,,,,맛7,만족도5,목적4,서비스1,가격1,,,,,
히어로도넛 한남점,1931677626.0,도넛47,커피12,약과6,스콘6,드립커피4,맛39,만족도27,서비스17,위치1,분위기1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
Talk About Donut,1272405366.0,도넛37,크림브륄레4,치즈4,아이스크림4,커피1,맛44,만족도37,서비스5,목적4,메뉴3,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
MSMR,1656958791.0,커피36,스콘15,라떼8,아인슈페너5,크림라떼5,맛56,만족도45,분위기25,서비스11,목적4,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,디저트가 맛있어요,친절해요
커피빈 이태원제일기획옆점,36434852.0,커피34,라떼10,헤이즐넛8,수박주스5,바닐라라떼5,만족도92,맛60,서비스40,분위기8,메뉴5,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
카페필로스,960061966.0,커피90,라떼23,아이스티8,아메리카노7,머핀7,만족도300,맛173,서비스21,분위기21,가격9,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,대화하기 좋아요
곤트란쉐리에 한남점,1725618041.0,소금빵15,크로와상10,샌드위치10,케이크5,파니니5,맛53,만족도29,서비스14,가격3,메뉴2,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
카페 르상스 사운즈한남점,1529139711.0,커피59,쿠키16,와인16,소금빵12,마들렌10,맛98,만족도86,분위기33,서비스11,메뉴9,음식이 맛있어요,인테리어가 멋져요,매장이 청결해요,친절해요,특별한 메뉴가 있어요
아이엠랑데자뷰 한남비자림점,1994225115.0,,,,,,,,,,,친절해요,특색 있는 제품이 많아요,품질이 좋아요,시설이 깔끔해요,분위기가 편안해요
메가MGC커피 한남오거리점,1364394756.0,커피48,라떼11,스무디4,요거트3,쿠키2,만족도191,맛71,서비스19,가격13,음식량6,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,디저트가 맛있어요
카페드블루 블루스퀘어점,1089116606.0,커피27,라떼7,에이드3,밀크티2,아이스크림1,만족도82,맛46,서비스11,분위기6,메뉴2,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
고든즈,1597788733.0,치즈29,치즈케이크18,케이크17,바스크치즈케이크3,위스키2,맛55,만족도35,목적8,서비스5,배달4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
뮵,1301962227.0,,,,,,,,,,,,,,,
페이퍼블랑&카페,1864037749.0,커피11,라떼4,플랫화이트3,아메리카노1,바닐라라떼1,맛16,만족도6,분위기3,서비스1,가격1,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요
비원에프,38514063.0,커피4,쥬스3,김치찜3,밀크티2,김치볶음밥2,맛17,만족도16,서비스3,메뉴3,분위기3,가성비가 좋아요,친절해요,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요
아카이뷰,1605560661.0,,,,,,커피1,만족도1,맛1,,,,,,,
챔프커피리움,1641235224.0,커피96,쿠키20,라떼18,플랫화이트4,아메리카노4,맛100,만족도67,서비스9,음식량9,메뉴4,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요
브랜드한남,1914211634.0,커피22,아이스크림7,아인슈페너4,스무디3,우동3,맛49,만족도45,분위기23,서비스23,목적3,인테리어가 멋져요,친절해요,커피가 맛있어요,매장이 청결해요,좌석이 편해요
포멜로빈 현대카드 뮤직라이브러리점,1136109680.0,커피10,라떼1,바닐라라떼1,초코라떼1,아메리카노1,만족도19,맛9,분위기2,메뉴1,전망1,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,뷰가 좋아요
스플렌디드 케이크,1601745986.0,,,,,,,,,,,,,,,
올모스트블루,1690112488.0,커피30,라떼26,고구마라떼4,밀크티4,쉐이크3,맛45,만족도31,서비스14,메뉴8,분위기4,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
컨템포러리1,1121894431.0,,,,,,서비스4,가격1,편의・부대시설1,,,,,,,
솔티밥,1211042040.0,아이스크림12,도넛5,불고기1,커피1,우유아이스크림1,아이스크림12,도넛5,불고기1,커피1,우유아이스크림1,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
스튜디오 콘크리트,37272143.0,,,,,,편의시설2,작품관람2,공연・전시공간2,서비스1,혼잡도1,,,,,
Cafe Artue,1408514140.0,,,,,,,,,,,,,,,
슬링스톤,1496880070.0,커피17,까눌레3,쿠키2,휘낭시에1,플랫화이트1,만족도15,맛15,분위기5,서비스5,음식량1,인테리어가 멋져요,커피가 맛있어요,친절해요,대화하기 좋아요,사진이 잘 나와요
카페부호,529145331.0,,,,,,,,,,,,,,,
이디야커피 IBK고객센터점,1127729004.0,커피18,라떼14,은행3,샌드위치3,쥬스2,만족도74,맛53,서비스20,분위기4,청결도3,커피가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요,음료가 맛있어요
97PAGE,37621348.0,,,,,,,,,,,,,,,
실로,1206775276.0,라떼5,바닐라라떼4,딸기라떼2,아메리카노1,에이드1,만족도9,맛9,분위기5,메뉴4,서비스3,친절해요,매장이 청결해요,커피가 맛있어요,음료가 맛있어요,대화하기 좋아요
아메리칸트레일러 몽르베,1193630015.0,얼그레이1,밀크티1,얼그레이밀크티1,커피1,,얼그레이1,밀크티1,얼그레이밀크티1,커피1,맛3,음료가 맛있어요,재료가 신선해요,가성비가 좋아요,특별한 메뉴가 있어요,디저트가 맛있어요
온더램프,35581489.0,커피6,라떼3,딸기라떼2,수박주스2,쥬스2,커피6,라떼3,딸기라떼2,수박주스2,쥬스2,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
매머드익스프레스 한남순천향병원점,1105084400.0,,,,,,커피2,맛2,만족도1,서비스1,,커피가 맛있어요,가성비가 좋아요,친절해요,음료가 맛있어요,매장이 청결해요
쌀람베이커리,13389647.0,,,,,,만족도4,맛3,바게트2,가격2,서비스1,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,커피가 맛있어요
카페 yy,1655466771.0,커피2,샌드위치1,햄샌드위치1,,,커피2,샌드위치1,햄샌드위치1,만족도3,분위기2,,,,,
컴포즈커피 한남순천향점,1258478813.0,커피8,라떼2,아메리카노2,프라페1,초코라떼1,만족도34,맛20,서비스12,음식량2,대기시간2,커피가 맛있어요,가성비가 좋아요,친절해요,음료가 맛있어요,매장이 청결해요
케익갤러리,13347714.0,커피9,샌드위치7,케이크3,에이드2,한라봉에이드2,만족도44,맛42,가격7,서비스6,분위기3,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
요벨커피,37624492.0,쥬스6,커피4,생과일쥬스3,딸기쥬스2,수박주스1,만족도30,맛16,가격3,서비스3,메뉴1,커피가 맛있어요,가성비가 좋아요,친절해요,음료가 맛있어요,매장이 청결해요
더카페 한남점,1346458531.0,커피18,라떼7,아메리카노3,쿠키1,버블티1,맛38,만족도36,서비스13,가격7,메뉴1,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
나인원카페,1096865151.0,,,,,,,,,,,,,,,
오늘은 열었을거야,20268201.0,,,,,,만족도3,라떼1,바닐라라떼1,메뉴1,맛1,,,,,
컵스 바이 웰페리온,1635364831.0,,,,,,,,,,,,,,,
써니브레드,1142091847.0,커피8,케이크2,쿠키2,아이스크림2,컵케이크1,맛17,만족도12,서비스5,분위기3,청결도1,친절해요,디저트가 맛있어요,커피가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요
아망뜨 한남,1710561799.0,커피10,파스타8,샌드위치5,토스트4,크림파스타3,만족도27,맛26,분위기13,서비스7,가격6,음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,특별한 날 가기 좋아요
cafe12pm,1100276726.0,,,,,,맛11,커피5,만족도3,위치2,서비스1,커피가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요,디저트가 맛있어요
차차이테,1851359957.0,,,,,,,,,,,,,,,
레빗홀,1346358468.0,,,,,,만족도2,,,,,,,,,
레알빈,33684867.0,,,,,,커피1,만족도1,,,,,,,,
아르시오네,37114138.0,,,,,,만족도3,커피1,,,,,,,,
더룸,1079753617.0,,,,,,,,,,,,,,,
알어바웃트,1246511413.0,,,,,,,,,,,,,,,
키투오 커피 한남점,31390472.0,커피9,통닭3,아메리카노2,요거트1,아이스티1,맛23,만족도21,서비스4,분위기2,전망1,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,대화하기 좋아요
카페마마스 한남나인원점,1192940439.0,샐러드11,파니니10,치즈5,쥬스5,샌드위치4,맛40,만족도36,서비스5,음식량3,목적1,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,매장이 넓어요
학산 한남지점,1732567929.0,커피68,라떼5,치즈4,드립커피3,카푸치노3,맛77,만족도75,분위기18,서비스7,전망3,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
라인드한남 브런치,1754948285.0,,,,,,,,,,,,,,,
철그릴앤백미당 한남점,1815877802.0,,,,,,,,,,,,,,,
이스탄불딜라이트 2호점,1976267986.0,케밥2,치즈1,치킨1,,,케밥2,치즈1,치킨1,맛3,서비스1,특별한 메뉴가 있어요,빵이 맛있어요,커피가 맛있어요,친절해요,좌석이 편해요
어썸라운지이태원점,1085204907.0,,,,,,만족도1,서비스1,,,,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
투어디테이블,20862908.0,,,,,,,,,,,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,디저트가 맛있어요
아파시아나또,18731460.0,,,,,,만족도2,서비스1,,,,,,,,
포피힐스,1872415321.0,치즈4,케이크4,치즈케이크4,바스크치즈케이크2,쿠키2,맛4,만족도3,서비스2,목적1,위치1,,,,,
다니엘커피숍,18183485.0,,,,,,,,,,,,,,,
도로시포트,1098863541.0,,,,,,,,,,,,,,,
에그쉘 용산본점,1356976407.0,커피15,샌드위치11,베이글6,타르트4,라떼4,맛41,만족도39,분위기16,서비스14,메뉴5,친절해요,인테리어가 멋져요,커피가 맛있어요,빵이 맛있어요,매장이 청결해요
키에리,37848376.0,케이크548,치즈200,치즈케이크141,커피113,얼그레이37,맛810,만족도591,서비스200,가격100,분위기79,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
더베이커스테이블,21547232.0,샌드위치38,커피33,소세지16,파니니14,맥주12,맛592,만족도381,서비스99,분위기44,청결도33,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,가성비가 좋아요
"케르반 카페, 디저트&브런치",1621125116.0,홍차36,커피20,아이스크림9,쿠키8,푸딩5,맛172,만족도104,서비스44,분위기21,메뉴12,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
카페타자기,1956497986.0,커피21,크로플5,카스테라2,흑임자2,에이드2,만족도88,맛43,분위기34,전망19,서비스5,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,음료가 맛있어요
플랜트,822066102.0,샐러드70,두부23,케이크17,스무디11,고기9,맛319,만족도199,음식량68,서비스30,분위기26,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,대화하기 좋아요
쉘터 해방,1717440686.0,커피51,라떼15,쿠키15,소금커피13,에이드4,맛74,만족도74,전망30,서비스25,분위기11,뷰가 좋아요,커피가 맛있어요,사진이 잘 나와요,친절해요,인테리어가 멋져요
오잇,1497570402.0,크로플125,커피79,아이스크림23,라떼15,피클14,맛206,만족도166,전망40,서비스32,분위기32,커피가 맛있어요,디저트가 맛있어요,뷰가 좋아요,인테리어가 멋져요,사진이 잘 나와요
레인리포트,1908080026.0,커피56,라떼15,케이크11,흑임자10,휘낭시에10,만족도116,맛88,분위기37,서비스22,가격12,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,디저트가 맛있어요,뷰가 좋아요
르몽블랑,1193666985.0,케이크81,커피49,에끌레어16,얼그레이14,몽블랑13,맛214,만족도182,분위기33,가격24,서비스20,디저트가 맛있어요,특별한 메뉴가 있어요,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요
알페도,1233086327.0,커피119,쿠키92,아이스크림29,우유28,치즈21,맛701,만족도393,서비스153,메뉴49,가격34,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
테이프,1845157455.0,케이크108,커피20,라떼9,초코케이크8,치즈8,만족도126,맛126,분위기22,서비스13,가격11,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
크림커넥션,689929472.0,커피31,라떼16,녹차13,크로플12,아인슈페너8,맛94,만족도73,서비스30,분위기22,메뉴4,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
챔프커피 제2작업실,35559487.0,커피211,쿠키55,라떼41,플랫화이트18,초코쿠키10,맛221,만족도106,서비스31,분위기13,음식량4,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
토스티데이즈,96842022.0,토스트57,커피34,프렌치토스트31,아이스크림17,라떼8,맛101,만족도83,서비스55,분위기29,메뉴4,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
오띠젤리,1586361430.0,커피31,샌드위치26,치즈8,양송이수프7,리코타치즈4,맛121,만족도79,서비스17,분위기17,가격6,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
빵어니스타 이태원점,1698553157.0,쿠키94,타르트81,빙수72,커피15,티라미수15,맛235,만족도160,가격27,서비스16,메뉴12,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
미니마이즈,1218176536.0,케이크82,흑임자36,아이스크림36,아포가토26,치즈23,맛244,만족도142,가격18,서비스14,분위기10,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요,음료가 맛있어요
널담은공간 해방촌점,1902632584.0,라떼9,커피7,크로플3,흑임자2,에이드2,만족도63,맛40,분위기14,서비스12,전망7,친절해요,음료가 맛있어요,뷰가 좋아요,디저트가 맛있어요,특별한 메뉴가 있어요
라비앙코코,37455024.0,크로플10,초콜릿10,커피5,핫초코4,아인슈페너4,맛39,만족도16,메뉴4,분위기3,음식량1,음료가 맛있어요,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요
무진장,1499717815.0,커피73,브라우니28,라떼22,케이크9,아메리카노7,만족도197,맛182,분위기95,서비스47,목적5,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,대화하기 좋아요,친절해요
로컬빌라베이글,1083396619.0,베이글140,커피27,치즈25,샌드위치22,크림치즈20,맛163,만족도69,서비스21,가격10,분위기10,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,매장이 청결해요
팬케이크샵,421667612.0,케이크65,팬케이크59,커피21,아이스크림10,아메리카노5,맛110,만족도77,분위기27,서비스14,메뉴7,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,뷰가 좋아요
마커마크,1007939018.0,커피17,라떼11,과일11,바질5,에이드5,맛52,만족도48,서비스39,분위기18,목적1,디저트가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
도나르,1729501476.0,샌드위치45,와인27,파니니20,포카치아10,연어9,맛140,만족도96,분위기29,서비스29,메뉴16,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,사진이 잘 나와요
업스탠딩,1681935587.0,커피71,라떼16,쿠키10,플랫화이트8,롱블랙5,맛73,만족도67,서비스50,분위기22,목적2,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
소서원,1402030250.0,커피36,케이크16,휘낭시에11,라떼10,아인슈페너10,맛80,만족도73,분위기30,서비스13,가격3,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
님부스커피,1813688325.0,커피41,케이크5,아인슈페너4,초코라떼2,티라미수2,맛53,만족도46,서비스28,분위기21,메뉴5,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
로너,1452914440.0,커피20,라떼8,케이크4,샌드위치3,카페라떼2,맛27,만족도24,분위기8,서비스6,메뉴4,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,매장이 청결해요,음료가 맛있어요
웨스트빙고,1920026064.0,커피41,타르트20,에그타르트19,라떼11,아이스크림9,맛94,만족도78,분위기26,서비스18,메뉴9,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
르시앙블랑,73829640.0,바게트19,커피19,크로와상12,식빵7,치즈7,맛70,만족도45,서비스12,가격6,분위기5,빵이 맛있어요,커피가 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요
코타티 해방촌,1499075152.0,젤라또57,바질19,아이스크림17,커피7,요거트5,맛175,만족도89,서비스26,분위기7,메뉴6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
비욘드문,1701007422.0,커피28,토스트20,라떼7,흑임자4,아메리카노4,맛66,만족도57,분위기30,서비스18,메뉴5,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
코지빌라커피,1663724505.0,커피45,쿠키15,케이크12,라떼6,밀크티4,맛67,만족도55,분위기25,서비스12,메뉴6,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,대화하기 좋아요,친절해요
