,code,menu_1,menu_2,menu_3,menu_4,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5,menu_5
부트 카페 연남,1673974291,커피32,라떼13,밀크티1,아메리카노1,커피32,라떼13,밀크티1,아메리카노1,맛34,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,매장이 청결해요,
차니베어스테이션,1225651194,컵케이크20,케이크17,커피8,라떼6,만족도78,맛47,분위기23,서비스16,목적7,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,파르페3
르누아즈,1662471064,커피23,케이크17,타르트10,스콘8,맛127,만족도80,서비스16,분위기11,메뉴7,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,아메리카노6
플리퍼스 연남점,1008547388,수플레24,케이크12,팬케이크8,커피6,맛39,만족도23,서비스7,분위기5,가격5,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,푸딩5
호안끼엠,1562184080,빙수71,망고빙수41,커피30,딸기빙수11,맛113,만족도77,서비스30,분위기26,가격4,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,라떼8
다레젤라또 연남점,1115566217,젤라또77,아이스크림25,흑임자12,얼그레이7,맛152,만족도68,서비스31,메뉴14,음식량3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요,밀크티7
1994SEOUL,1328645576,,,,,만족도8,맛3,약과2,다식2,서비스2,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,디저트가 맛있어요,음료가 맛있어요,
꾸다방,1530424893,커피48,휘낭시에19,라떼15,치즈6,맛100,만족도59,분위기23,서비스21,전망2,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,대화하기 좋아요,크림라떼5
페어리 하우스,1384022341,커피2,라떼1,샌드위치1,아메리카노1,만족도5,맛4,분위기2,서비스2,전망1,,,,,,케이크1
카페늘보,1199284777,,,,,만족도26,서비스16,맛6,에이드5,분위기2,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,집중하기 좋아요,커피가 맛있어요,
바림케이크,1358257052,쿠키23,타르트23,케이크20,치즈19,맛77,만족도56,서비스36,분위기14,가격3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요,콘치즈13
리이슈커피로스터스,1510715349,커피17,라떼17,휘낭시에2,에스프레소1,맛24,만족도17,서비스4,분위기3,청결도1,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요,바닐라라떼1
다르 에스프레소바,1806446626,커피65,에스프레소25,라떼22,케이크9,맛65,만족도56,서비스26,분위기20,메뉴5,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,디저트가 맛있어요,핸드드립7
미로베이크,1155196632,커피11,케이크10,푸딩7,바나나푸딩6,맛59,만족도36,서비스8,메뉴7,목적5,디저트가 맛있어요,친절해요,커피가 맛있어요,빵이 맛있어요,매장이 청결해요,타르트6
데일리라운드,34079145,토스트27,파스타21,프렌치토스트18,샐러드18,맛199,만족도182,분위기91,서비스30,음식량16,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요,커피12
서울도넛츠 연남점,1910858491,도넛25,꽈배기13,커피4,우유3,맛109,만족도55,서비스20,가격4,분위기2,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,커피가 맛있어요,초콜릿3
부빵,1528573639,소금빵12,커피5,아메리카노3,샌드위치3,맛59,만족도55,서비스21,분위기14,메뉴10,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,바게트3
텐더리커피앤디저트,1243694776,커피24,소금빵19,라떼11,아인슈페너5,맛52,만족도38,서비스17,분위기15,전망6,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,매장이 청결해요,파운드케이크4
야미양 글루텐프리 공방카페,1172962798,쿠키68,커피23,라떼12,마들렌7,만족도124,맛121,분위기50,서비스49,목적8,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,커피가 맛있어요,약과6
카페몽슈슈 연남점,1577367029,케이크8,커피7,롤케이크5,도지마롤5,맛43,만족도38,서비스19,분위기9,목적7,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,인테리어가 멋져요,밀크티4
연남동콤부차,1252488478,커피4,뱅쇼4,라떼4,찹쌀떡3,맛49,만족도31,서비스16,분위기5,목적3,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요,흑임자2
마카롱롱롱,31481801,마카롱36,얼그레이6,커피4,밀크티3,맛50,만족도29,서비스10,목적5,메뉴3,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,흑임자2
데저트,1783410564,쿠키12,푸딩6,치즈3,치즈케이크3,만족도24,맛23,분위기7,서비스5,가격3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요,케이크3
필엣필즈,1291868151,커피15,치즈15,소금빵12,케이크11,맛148,만족도92,서비스19,목적15,메뉴8,디저트가 맛있어요,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,치즈포테이토10
얼웨이즈스프링,1562362196,케이크31,휘낭시에18,크림브륄레15,커피13,맛65,만족도50,서비스19,분위기15,목적5,디저트가 맛있어요,친절해요,커피가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요,딸기케이크4
멜티스트,1007494188,휘낭시에10,케이크6,커피5,스콘4,맛21,만족도18,서비스8,분위기4,메뉴2,디저트가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,푸딩2
와이와이와이 그릭요거트 연남,1971357827,요거트185,그릭요거트104,커피61,과일40,맛197,만족도132,서비스44,분위기29,음식량9,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요,흑임자38
컴포넌트 커피,1265578612,커피57,휘낭시에41,라떼35,크림라떼26,만족도103,맛100,분위기40,서비스22,메뉴10,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요,에이드7
월에버,1081109811,커피16,치즈케이크5,치즈5,케이크4,맛19,만족도16,서비스14,분위기4,메뉴2,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,바스크치즈케이크4
메종미하벨,1282558007,케이크8,수제케이크2,과일2,,케이크8,수제케이크2,과일2,만족도11,맛11,,,,,,
백종명화이트커피,972643975,커피24,아메리카노3,바닐라라떼2,라떼2,만족도27,맛25,분위기3,서비스2,메뉴2,커피가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요,음료가 맛있어요,크로플2
거니노룰즈,1200953867,소금빵109,커피22,크로와상11,아메리카노7,맛125,만족도78,서비스31,분위기6,목적5,빵이 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요,식빵6
카페 드 루왁,1156818422,커피103,휘낭시에34,마카롱34,에스프레소19,만족도83,맛80,서비스28,분위기27,메뉴6,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,라떼15
애몽,1290724510,젤리5,푸딩5,과일4,파르페4,만족도12,맛6,서비스3,분위기3,방역1,디저트가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요,커피가 맛있어요,친절해요,곤약젤리1
테누커피,1110821571,모찌50,빙수44,커피43,딸기모찌21,맛110,만족도76,서비스14,분위기11,음식량11,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요,찹쌀떡5
벌스가든,1940633666,케이크24,커피19,라떼6,아메리카노4,만족도56,서비스28,맛28,가격22,분위기17,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요,레몬케이크3
메리트리,1601052613,크로플15,케이크9,빙수8,커피5,맛38,만족도38,분위기10,서비스4,가격1,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,라떼5
lebonble 르봉블레,1908880523,쿠키40,타르트18,커피4,과일4,맛38,만족도34,목적27,서비스6,분위기6,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,빵이 맛있어요,얼그레이4
카페스콘,1964985703,스콘79,케이크59,커피46,레몬케이크38,맛190,만족도173,분위기55,서비스25,메뉴8,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,코코넛케이크20
모닝캄커피랩 연남점,1213138528,커피65,치즈34,크로플16,아이스크림15,맛87,만족도70,분위기37,서비스18,메뉴11,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,브라운치즈크로플8
코코리코,1727400952,바게트23,치즈19,포카치아19,크림치즈11,맛142,만족도86,서비스29,음식량6,가격5,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요,치아바타11
파롤앤랑그,1830575633,옥수수149,바질145,커피56,타르트24,맛566,만족도351,대기시간46,가격44,서비스39,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,라떼16
17도씨,35453402,초콜릿94,빙수84,초코빙수40,아이스크림38,맛222,만족도119,서비스32,목적19,가격9,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,커피가 맛있어요,초코아이스크림16
테일러커피 연남점,37604020,커피194,크림모카39,아인슈페너30,라떼18,맛261,만족도150,분위기32,서비스30,메뉴10,커피가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요,드립커피6
버터앤쉘터 연남점,1518148646,커피203,쿠키189,스콘51,옥수수35,맛735,만족도448,분위기230,서비스70,메뉴42,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요,라떼28
히포,1174025294,커피115,토스트100,프렌치토스트67,파스타56,맛479,만족도444,분위기177,서비스110,메뉴44,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,음식이 맛있어요,매장이 청결해요,치즈48
수크레크레페하우스,1299065898,크레페69,치즈16,커피7,아이스크림6,맛88,만족도70,서비스30,분위기18,음식량10,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음식이 맛있어요,뱅쇼4
씨스루,1798970075,커피433,라떼143,크로플110,쿠키58,"맛1,201","만족도1,116",분위기483,서비스283,메뉴117,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,아이스크림37
땡스오트 연남,1435646824,요거트141,그릭요거트53,샌드위치43,치즈16,맛282,만족도170,분위기39,서비스37,음식량22,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요,연어14
피프에스프레소바,1241444193,커피82,에스프레소59,티라미수11,크로플9,맛110,만족도86,분위기26,서비스17,메뉴9,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,얼그레이3
모투누이,1927432324,라떼142,브라우니99,쿠키81,티라미수79,맛610,만족도484,서비스153,분위기149,메뉴36,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요,쑥라떼76
블루보틀 연남 카페,1220314330,커피6,라떼2,아이스크림1,,커피6,라떼2,아이스크림1,만족도10,맛10,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,뷰가 좋아요,
달콤다정,1104888425,타르트159,레몬타르트123,스콘75,밀크티57,맛518,만족도425,서비스156,분위기130,메뉴79,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,샌드위치51
리틀빅토리,1081294843,까눌레212,휘낭시에106,마카롱105,마들렌48,맛359,만족도170,서비스60,목적19,가격6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,빵이 맛있어요,매장이 청결해요,구움과자34
페블스,1818853219,푸딩101,치즈14,커피10,아이스크림10,맛111,만족도49,대기시간10,분위기7,서비스7,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,커피가 맛있어요,커스터드8
MIDNIGHT PLEASURE,32891199,와인18,까눌레6,케이크3,얼그레이3,맛34,만족도26,서비스11,가격4,목적4,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,휘낭시에2
SOP,1147665990,커피64,케이크23,치즈14,치즈케이크11,맛118,만족도89,분위기33,서비스24,메뉴16,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,라떼10
올웨이즈어거스트 제작소,1853353265,커피33,라떼7,케이크4,컵케이크3,맛41,만족도33,분위기11,서비스10,위치4,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,몽블랑2
맥코이 연남,1567157005,커피179,라떼21,티라미수18,아메리카노9,맛190,만족도117,분위기68,서비스19,메뉴3,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,사진이 잘 나와요,베이글7
오흐뒤구떼,1434341556,구움과자6,마들렌5,휘낭시에3,초코쿠키1,맛12,만족도8,서비스3,예약1,분위기1,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,비스코티1
에스프레소 부티크,38548704,커피38,에스프레소14,밀크티5,크로플3,만족도48,맛42,분위기18,서비스11,메뉴8,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요,친절해요,라떼2
멜팅오브,1218794011,파르페64,케이크57,커피48,치즈29,만족도158,맛157,분위기56,메뉴19,목적16,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요,커피가 맛있어요,팡도르27
턴다운서비스,1377545270,커피64,라떼22,아이스크림13,치즈8,만족도111,맛100,분위기70,서비스18,메뉴10,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음악이 좋아요,음료가 맛있어요,케이크8
코리코카페,1010873065,케이크346,커피263,타르트195,팬케이크127,"만족도3,021","맛1,994",분위기923,서비스235,메뉴108,인테리어가 멋져요,사진이 잘 나와요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,라떼89
라헬의부엌 연남점,1664294602,수플레126,케이크33,커피24,팬케이크24,맛165,만족도114,분위기27,서비스25,메뉴11,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,수플레팬케이크13
콩카페 연남점,1521760712,커피136,스무디69,코코넛스무디51,연유커피24,맛218,만족도165,분위기38,서비스21,음식량3,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요,코코넛커피22
더파이샵,1016126841,푸딩46,커피24,치즈7,약과5,맛125,만족도81,분위기14,서비스13,목적6,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요,라떼4
목화씨라운지,1211710717,푸딩169,커피55,케이크17,치즈15,맛187,만족도131,분위기41,서비스22,음식량7,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,치즈케이크13
Deweet,37769447,커피29,케이크26,밀크티8,까눌레6,맛142,만족도85,분위기28,서비스26,가격10,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,아인슈페너6
포포민즈낫띵,1160848046,커피12,휘낭시에12,옥수수9,구움과자7,맛86,만족도70,서비스24,목적6,분위기4,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,케이크7
펠른 연남,1199972298,커피49,라떼14,에스프레소14,케이크5,맛66,만족도66,분위기19,서비스19,메뉴7,커피가 맛있어요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,마들렌5
피에트라,1741866041,젤라또83,아이스크림28,초콜릿11,막걸리11,맛142,만족도98,서비스27,분위기12,가격5,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,인테리어가 멋져요,치즈6
코이크,1072884158,케이크167,커피34,치즈27,치즈케이크24,맛201,만족도136,분위기33,서비스28,목적4,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요,라떼12
소하염전 연남,1149762141,소금빵97,커피24,우유15,치즈7,맛102,만족도64,분위기24,서비스14,메뉴4,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요,크림치즈5
연트럴다방,1145635183,스콘79,커피69,라떼45,약과30,만족도200,맛193,서비스104,분위기74,메뉴16,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,토스트26
매일 카페,1597752999,커피42,라떼19,밀크티18,푸딩14,만족도165,맛158,분위기97,서비스58,메뉴26,친절해요,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,케이크13
위트앤척클,1927900521,아이스크림19,쿠키9,쉐이크5,밀크쉐이크5,맛19,만족도19,서비스7,분위기5,청결도1,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,바닐라아이스크림3
폴리스팬케이크,36399494,케이크56,팬케이크55,아이스크림19,커피14,맛96,만족도53,서비스19,분위기12,메뉴9,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,밀크티6
씨스터브레드,1227219807,소금빵61,식빵11,브레드5,바게트3,맛60,만족도29,서비스11,목적3,분위기2,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요,모닝빵2
어니스트팬케이크,1066853151,케이크298,팬케이크282,커피67,아이스크림37,맛435,만족도258,서비스217,분위기55,메뉴21,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,아메리카노26
사이드테이블,980307471,크로플255,커피247,아인슈페너69,에이드54,맛637,만족도508,분위기352,서비스178,메뉴49,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,치즈50
미라지커피,1000639701,크로플177,커피80,라떼13,아이스티10,맛197,만족도164,분위기82,서비스77,메뉴9,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,플랫화이트9
지구제과,1423603783,케이크36,얼그레이22,레몬케이크18,티라미수12,맛153,만족도80,서비스51,음식량3,메뉴3,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요,스콘10
롱베케이션,1630421798,푸딩348,라떼153,커피122,말차라떼117,맛674,만족도470,분위기232,서비스84,메뉴28,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,친절해요,녹차73
로프스페이스 연남,1049643176,커피53,크로플9,라떼8,에이드5,만족도79,맛69,분위기30,서비스18,메뉴4,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,친절해요,뷰가 좋아요,드립커피4
발트 본점,1264720945,크로플109,커피42,치즈40,라떼26,맛149,만족도98,분위기48,서비스26,메뉴12,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,사진이 잘 나와요,친절해요,브라운치즈크로플11
베란다컵케익,572367804,컵케이크36,케이크29,커피14,얼그레이4,맛84,만족도68,분위기20,서비스7,목적5,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,아메리카노3
누크녹,1211536676,커피154,바질148,에이드114,치즈77,맛690,만족도527,분위기227,서비스222,메뉴31,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요,크림치즈71
하프베이글,1860425869,베이글102,치즈26,크림치즈23,참치23,맛113,만족도75,서비스33,메뉴11,가격4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요,과일21
꿀넹쿠키 연남점,1074601786,쿠키478,푸딩105,약과81,커피68,맛518,만족도348,서비스91,메뉴63,목적46,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요,스콘51
아꽁뜨,1487362172,휘낭시에51,커피30,타르트15,까눌레13,맛142,만족도71,서비스28,목적14,메뉴7,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요,라떼7
위아소울메이트,1775473845,커피49,케이크37,라떼16,쿠키15,맛186,만족도160,분위기83,서비스25,메뉴22,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요,빙수14
